country;date;value;Name
Belarus (cons); 2016;0,28762;P90vsP10
Belarus (inc); 1993;0,36737;P90vsP10
Belarus (inc); 1995;0,25063;P90vsP10
Belgium (inc); 2003;0,24587;P90vsP10
Belgium (inc); 2004;0,23581;P90vsP10
Belgium (inc); 2005;0,24352;P90vsP10
Belgium (inc); 2006;0,25341;P90vsP10
Belgium (inc); 2007;0,24424;P90vsP10
Belgium (inc); 2008;0,25208;P90vsP10
Belgium (inc); 2009;0,24002;P90vsP10
Belgium (inc); 2010;0,2435;P90vsP10
Belgium (inc); 2011;0,2472;P90vsP10
Belgium (inc); 2012;0,25294;P90vsP10
Belgium (inc); 2013;0,25118;P90vsP10
Belgium (inc); 2014;0,25341;P90vsP10
Belgium (inc); 2015;0,256;P90vsP10
Belize (cons); 1995;0,05249;P90vsP10
Belize (inc); 1993;0,05797;P90vsP10
Belize (inc); 1994;0,06635;P90vsP10
Belize (inc); 1996;0,06765;P90vsP10
Belize (inc); 1997;0,04513;P90vsP10
Belize (inc); 1998;0,06942;P90vsP10
Belize (inc); 1999;0,06387;P90vsP10
Benin (cons); 2003;0,18507;P90vsP10
Benin (cons); 2011;0,15655;P90vsP10
Benin (cons); 2015;0,07021;P90vsP10
Bhutan (cons); 2003;0,17965;P90vsP10
Bhutan (cons); 2007;0,18269;P90vsP10
Bhutan (cons); 2012;0,18008;P90vsP10
Bhutan (cons); 2017;0,18769;P90vsP10
Bolivia (Urban) (inc); 1992;0,10588;P90vsP10
Bolivia (inc); 1991;0,15401;P90vsP10
Bolivia (inc); 1997;0,03519;P90vsP10
Bolivia (inc); 1999;0,02051;P90vsP10
Bolivia (inc); 2000;0,01878;P90vsP10
Bolivia (inc); 2001;0,03467;P90vsP10
Bolivia (inc); 2002;0,02847;P90vsP10
Bolivia (inc); 2004;0,06284;P90vsP10
Bolivia (inc); 2005;0,0365;P90vsP10
Bolivia (inc); 2006;0,04191;P90vsP10
Bolivia (inc); 2007;0,05488;P90vsP10
Bolivia (inc); 2008;0,06233;P90vsP10
Bolivia (inc); 2009;0,06;P90vsP10
Bolivia (inc); 2011;0,08056;P90vsP10
Bolivia (inc); 2012;0,0679;P90vsP10
Bolivia (inc); 2013;0,07242;P90vsP10
Bolivia (inc); 2014;0,0786;P90vsP10
Bolivia (inc); 2015;0,07958;P90vsP10
Bosnia and Herzegovina (cons); 2001;0,24926;P90vsP10
Bosnia and Herzegovina (cons); 2004;0,20481;P90vsP10
Bosnia and Herzegovina (cons); 2007;0,21421;P90vsP10
Bosnia and Herzegovina (cons); 2011;0,20992;P90vsP10
Bosnia and Herzegovina (cons); 2015;0,2156;P90vsP10
Botswana (cons); 1986;0,09258;P90vsP10
Botswana (cons); 1993;0,07776;P90vsP10
Botswana (cons); 2003;0,05632;P90vsP10
Botswana (cons); 2009;0,06971;P90vsP10
Brazil (inc); 1981;0,05766;P90vsP10
Brazil (inc); 1982;0,05762;P90vsP10
Brazil (inc); 1983;0,05753;P90vsP10
Brazil (inc); 1984;0,06056;P90vsP10
Brazil (inc); 1985;0,06442;P90vsP10
Brazil (inc); 1986;0,05876;P90vsP10
Brazil (inc); 1987;0,05141;P90vsP10
Brazil (inc); 1988;0,04514;P90vsP10
Brazil (inc); 1989;0,04264;P90vsP10
Brazil (inc); 1990;0,05259;P90vsP10
Brazil (inc); 1992;0,0581;P90vsP10
Brazil (inc); 1993;0,04826;P90vsP10
Brazil (inc); 1995;0,05263;P90vsP10
Brazil (inc); 1996;0,04648;P90vsP10
Brazil (inc); 1997;0,04834;P90vsP10
Brazil (inc); 1998;0,052;P90vsP10
Brazil (inc); 1999;0,05389;P90vsP10
Brazil (inc); 2001;0,05399;P90vsP10
Brazil (inc); 2002;0,05882;P90vsP10
Brazil (inc); 2003;0,05834;P90vsP10
Brazil (inc); 2004;0,06389;P90vsP10
Brazil (inc); 2005;0,06506;P90vsP10
Brazil (inc); 2006;0,06696;P90vsP10
Brazil (inc); 2007;0,06542;P90vsP10
Brazil (inc); 2008;0,07038;P90vsP10
Brazil (inc); 2009;0,07109;P90vsP10
Brazil (inc); 2011;0,07185;P90vsP10
Brazil (inc); 2012;0,076;P90vsP10
Brazil (inc); 2013;0,07303;P90vsP10
Brazil (inc); 2014;0,08287;P90vsP10
Brazil (inc); 2015;0,08066;P90vsP10
Bulgaria (cons); 1989;0,34198;P90vsP10
Bulgaria (cons); 1994;0,32253;P90vsP10
Bulgaria (cons); 1995;0,20886;P90vsP10
Bulgaria (cons); 1997;0,3151;P90vsP10
Bulgaria (cons); 2001;0,18908;P90vsP10
Bulgaria (cons); 2003;0,24722;P90vsP10
Bulgaria (cons); 2007;0,24514;P90vsP10
Bulgaria (inc); 1992;0,2428;P90vsP10
Bulgaria (inc); 2006;0,12409;P90vsP10
Bulgaria (inc); 2007;0,15736;P90vsP10
Bulgaria (inc); 2008;0,17725;P90vsP10
Bulgaria (inc); 2009;0,17407;P90vsP10
Bulgaria (inc); 2010;0,15419;P90vsP10
Bulgaria (inc); 2011;0,15432;P90vsP10
Bulgaria (inc); 2012;0,14613;P90vsP10
Bulgaria (inc); 2013;0,13258;P90vsP10
Bulgaria (inc); 2014;0,14017;P90vsP10
Burkina Faso (cons); 1994;0,13895;P90vsP10
Burkina Faso (cons); 1998;0,12287;P90vsP10
Burkina Faso (cons); 2003;0,148;P90vsP10
Burkina Faso (cons); 2009;0,1758;P90vsP10
Burkina Faso (cons); 2014;0,22879;P90vsP10
Burundi (cons); 1992;0,23055;P90vsP10
Burundi (cons); 1999;0,11854;P90vsP10
Burundi (cons); 2006;0,25667;P90vsP10
Burundi (cons); 2014;0,17988;P90vsP10
Cameroon (cons); 1996;0,15493;P90vsP10
Cameroon (cons); 2001;0,1596;P90vsP10
Cameroon (cons); 2007;0,15913;P90vsP10
Cameroon (cons); 2014;0,11493;P90vsP10
Canada (inc); 1981;0,19496;P90vsP10
Canada (inc); 1987;0,20991;P90vsP10
Canada (inc); 1991;0,21543;P90vsP10
Canada (inc); 1994;0,21405;P90vsP10
Canada (inc); 1997;0,20441;P90vsP10
Canada (inc); 1998;0,19365;P90vsP10
Canada (inc); 2000;0,19223;P90vsP10
Canada (inc); 2004;0,18903;P90vsP10
Canada (inc); 2007;0,19447;P90vsP10
Canada (inc); 2010;0,19501;P90vsP10
Canada (inc); 2013;0,17493;P90vsP10
Cape Verde (cons); 2002;0,10155;P90vsP10
Cape Verde (cons); 2007;0,12535;P90vsP10
Central African Republic (cons); 1992;0,0483;P90vsP10
Central African Republic (cons); 2003;0,13483;P90vsP10
Central African Republic (cons); 2008;0,0792;P90vsP10
Chad (cons); 2003;0,1641;P90vsP10
Chad (cons); 2011;0,12193;P90vsP10
Chile (inc); 1987;0,07654;P90vsP10
Chile (inc); 1990;0,07795;P90vsP10
Chile (inc); 1992;0,09177;P90vsP10
